nuts2,region_name,unemployment_c1,unemployment_c2
TR32,"Aydın, Denizli, Muğla",,6.75
TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",,5.9
TR41,"Bursa, Eskişehir, Bilecik",,7.35
TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",,10.25
TR51,Ankara,,10.95
TR52,"Konya, Karaman",,9.15
TR61,"Antalya, Isparta, Burdur",,6.3
TR62,"Adana, Mersin",,13.65
TR63,"Hatay, Kahramanmaraş, Osmaniye",,9.65
TR71,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",,8.15
TR72,"Kayseri, Sivas, Yozgat",,9.8
TR81,"Zonguldak, Karabük, Bartın",,6
TR82,"Kastamonu, Çankırı, Sinop",,3.55
TR83,"Samsun, Tokat, Çorum, Amasya",,6.5
TR90,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",,4.6
TRA1,"Erzurum, Erzincan, Bayburt",,4.1
TRA2,"Ağrı, Kars, Iğdır, Ardahan",,3.9
TRB1,"Malatya, Elazığ, Bingöl, Tunceli",,10.65
TRB2,"Van, Muş, Bitlis, Hakkari",,9.2
TRC1,"Gaziantep, Adıyaman, Kilis",,14.8
TRC2,"Şanlıurfa, Diyarbakır",,11.9
TRC3,"Mardin, Batman, Şırnak, Siirt",,15.75
UKC1,Tees Valley and Durham (NUTS 2021),7.666666667,5.9
UKC2,Northumberland and Tyne and Wear (NUTS 2021),7.833333333,6.433333333
UKD1,Cumbria (NUTS 2021),5.5,3.8
UKD3,Greater Manchester (NUTS 2021),4.9,5.566666667
UKD4,Lancashire (NUTS 2021),4.2,4.933333333
UKD6,Cheshire (NUTS 2021),,3.166666667
UKD7,Merseyside (NUTS 2021),,6.533333333
UKE1,East Yorkshire and Northern Lincolnshire (NUTS 2021),6.333333333,5.833333333
UKE2,North Yorkshire (NUTS 2021),4.45,3.466666667
UKE3,South Yorkshire (NUTS 2021),5.933333333,6.2
UKE4,West Yorkshire (NUTS 2021),5.2,5.233333333
UKF1,Derbyshire and Nottinghamshire (NUTS 2021),5.266666667,5.2
UKF2,"Leicestershire, Rutland and Northamptonshire (NUTS 2021)",4,4.766666667
UKF3,Lincolnshire (NUTS 2021),4.533333333,4.6
UKG1,"Herefordshire, Worcestershire and Warwickshire (NUTS 2021)",3.4,3.433333333
UKG2,Shropshire and Staffordshire (NUTS 2021),4.266666667,4.4
UKG3,West Midlands (NUTS 2021),7.466666667,7.466666667
UKH1,East Anglia (NUTS 2021),3.766666667,4.4
UKH2,Bedfordshire and Hertfordshire (NUTS 2021),3.166666667,4.433333333
UKH3,Essex (NUTS 2021),3.533333333,4.5
UKI1,Inner London (NUTS 2010),8.733333333,8.333333333
UKI2,Outer London (NUTS 2010),5.1,6.5
UKI3,Inner London - West (NUTS 2021),,
UKI4,Inner London - East (NUTS 2021),,
